评论ID,提及品牌,平台,评论内容,点赞数,评论数,转发数,情感倾向,发布时间
CM01508,竞品B,小红书,感觉最近质量不如以前了，有点失望,48,8,3,负面,2023-05-15
CM01509,竞品C,B站,用了过敏，不知道是不是正品,59,9,5,负面,2023-09-10
CM01510,竞品B,小红书,用了过敏，不知道是不是正品,41,7,4,负面,2023-07-17
CM01511,品牌A,小红书,颜值很高，就是有点不耐用,59,13,7,中性,2023-06-15
CM01512,品牌A,抖音,价格有点贵，但是一分钱一分货吧,59,10,6,中性,2023-01-30
CM01513,竞品C,抖音,什么时候出新品啊，等好久了,60,9,7,正面,2023-08-07
CM01514,竞品B,小红书,什么时候出新品啊，等好久了,52,4,1,正面,2023-10-13
CM01515,竞品B,小红书,性价比很高，比XX品牌好多了,54,10,2,正面,2023-08-01
CM01516,竞品B,小红书,感觉最近质量不如以前了，有点失望,56,13,0,负面,2023-05-13
CM01517,竞品B,微博,客服态度太差了，再也不会买了,46,13,3,负面,2023-08-06
CM01518,竞品B,抖音,物流很快，包装也很好，推荐购买,45,11,1,正面,2023-09-23
CM01519,竞品B,小红书,用了过敏，不知道是不是正品,53,13,4,负面,2023-10-15
CM01520,竞品C,抖音,什么时候出新品啊，等好久了,54,4,5,正面,2023-09-21
CM01521,品牌A,B站,感觉最近质量不如以前了，有点失望,44,5,0,负面,2023-03-08
CM01522,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,46,5,10,正面,2023-10-22
CM01523,竞品C,抖音,国货之光，必须支持,53,9,3,正面,2023-02-16
CM01524,品牌A,小红书,客服态度太差了，再也不会买了,53,14,5,负面,2023-12-31
CM01525,竞品C,抖音,什么时候出新品啊，等好久了,36,12,2,正面,2023-12-20
CM01526,品牌A,小红书,价格有点贵，但是一分钱一分货吧,53,10,3,中性,2023-11-12
CM01527,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,52,13,4,正面,2023-09-26
CM01528,品牌A,微博,什么时候出新品啊，等好久了,56,5,6,正面,2023-07-29
CM01529,竞品B,抖音,物流很快，包装也很好，推荐购买,52,5,8,正面,2023-08-01
CM01530,竞品C,小红书,国货之光，必须支持,58,8,6,正面,2023-03-29
CM01531,品牌A,微博,客服态度太差了，再也不会买了,53,7,3,负面,2023-07-31
CM01532,品牌A,微博,什么时候出新品啊，等好久了,45,6,4,正面,2023-11-02
CM01533,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,45,9,4,正面,2023-11-18
CM01534,竞品B,微博,物流很快，包装也很好，推荐购买,53,3,5,正面,2023-11-16
CM01535,竞品C,微博,颜值很高，就是有点不耐用,48,13,4,中性,2023-09-01
CM01536,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,52,14,10,正面,2023-04-08
CM01537,竞品C,小红书,客服态度太差了，再也不会买了,40,14,4,负面,2023-08-31
CM01538,竞品B,微博,客服态度太差了，再也不会买了,51,7,5,负面,2023-08-02
CM01539,竞品B,微博,用了过敏，不知道是不是正品,45,5,3,负面,2023-01-11
CM01540,竞品C,小红书,价格有点贵，但是一分钱一分货吧,50,5,5,中性,2023-03-03
CM01541,竞品B,小红书,感觉最近质量不如以前了，有点失望,43,10,3,负面,2023-12-26
CM01542,品牌A,B站,用了过敏，不知道是不是正品,59,10,3,负面,2023-04-23
CM01543,竞品C,抖音,颜值很高，就是有点不耐用,64,6,8,中性,2023-11-19
CM01544,竞品B,抖音,国货之光，必须支持,49,14,6,正面,2023-08-15
CM01545,竞品B,抖音,国货之光，必须支持,43,17,8,正面,2023-06-18
CM01546,竞品C,小红书,用了过敏，不知道是不是正品,58,9,4,负面,2023-11-08
CM01547,竞品C,小红书,客服态度太差了，再也不会买了,47,9,6,负面,2023-11-28
CM01548,竞品B,B站,价格有点贵，但是一分钱一分货吧,35,13,5,中性,2023-02-22
CM01549,竞品B,微博,价格有点贵，但是一分钱一分货吧,54,10,7,中性,2023-02-01
CM01550,品牌A,小红书,国货之光，必须支持,41,9,9,正面,2023-09-23
CM01551,竞品C,B站,感觉最近质量不如以前了，有点失望,44,12,0,负面,2023-03-25
CM01552,竞品B,小红书,感觉最近质量不如以前了，有点失望,70,9,1,负面,2023-08-02
CM01553,竞品C,抖音,用了过敏，不知道是不是正品,46,11,10,负面,2023-02-04
CM01554,品牌A,B站,价格有点贵，但是一分钱一分货吧,49,9,5,中性,2023-10-03
CM01555,品牌A,微博,什么时候出新品啊，等好久了,59,18,0,正面,2023-11-27
CM01556,竞品B,B站,颜值很高，就是有点不耐用,68,5,3,中性,2023-06-09
CM01557,品牌A,抖音,价格有点贵，但是一分钱一分货吧,51,14,2,中性,2023-05-28
CM01558,竞品B,小红书,感觉最近质量不如以前了，有点失望,44,8,5,负面,2023-05-06
CM01559,竞品B,B站,什么时候出新品啊，等好久了,58,11,7,正面,2023-07-07
CM01560,竞品C,抖音,感觉最近质量不如以前了，有点失望,53,8,5,负面,2023-04-21
CM01561,竞品C,微博,价格有点贵，但是一分钱一分货吧,47,7,3,中性,2023-03-05
CM01562,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,56,9,6,正面,2023-09-18
CM01563,品牌A,微博,颜值很高，就是有点不耐用,57,5,2,中性,2023-05-22
CM01564,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,41,15,7,正面,2023-08-19
CM01565,竞品B,B站,价格有点贵，但是一分钱一分货吧,46,12,4,中性,2023-03-05
CM01566,竞品B,B站,用了过敏，不知道是不是正品,42,9,7,负面,2023-02-26
CM01567,竞品B,抖音,颜值很高，就是有点不耐用,48,6,3,中性,2023-09-16
CM01568,竞品C,抖音,颜值很高，就是有点不耐用,52,10,2,中性,2023-07-09
CM01569,品牌A,B站,颜值很高，就是有点不耐用,54,5,6,中性,2023-05-03
CM01570,竞品B,小红书,价格有点贵，但是一分钱一分货吧,53,11,2,中性,2023-06-21
CM01571,品牌A,微博,客服态度太差了，再也不会买了,42,12,6,负面,2023-06-24
CM01572,品牌A,小红书,客服态度太差了，再也不会买了,52,8,6,负面,2023-11-18
CM01573,品牌A,微博,用了过敏，不知道是不是正品,54,12,6,负面,2023-06-19
CM01574,品牌A,B站,物流很快，包装也很好，推荐购买,56,10,6,正面,2023-03-04
CM01575,品牌A,B站,客服态度太差了，再也不会买了,49,5,12,负面,2023-04-10
CM01576,品牌A,抖音,性价比很高，比XX品牌好多了,53,7,2,正面,2023-10-04
CM01577,竞品C,微博,客服态度太差了，再也不会买了,51,4,2,负面,2023-12-04
CM01578,竞品B,小红书,什么时候出新品啊，等好久了,47,5,6,正面,2023-03-29
CM01579,竞品C,微博,性价比很高，比XX品牌好多了,44,7,6,正面,2023-07-09
CM01580,竞品B,B站,感觉最近质量不如以前了，有点失望,62,14,2,负面,2023-01-02
CM01581,竞品B,B站,什么时候出新品啊，等好久了,56,15,8,正面,2023-11-20
CM01582,品牌A,抖音,物流很快，包装也很好，推荐购买,44,9,4,正面,2023-10-19
CM01583,品牌A,微博,颜值很高，就是有点不耐用,55,12,6,中性,2023-05-25
CM01584,竞品C,B站,国货之光，必须支持,48,8,8,正面,2023-11-21
CM01585,竞品B,微博,用了过敏，不知道是不是正品,65,10,6,负面,2023-03-24
CM01586,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,46,8,7,正面,2023-01-18
CM01587,竞品B,抖音,价格有点贵，但是一分钱一分货吧,52,11,3,中性,2023-11-05
CM01588,竞品B,微博,客服态度太差了，再也不会买了,38,6,5,负面,2023-02-04
CM01589,品牌A,B站,用了过敏，不知道是不是正品,44,6,2,负面,2023-02-07
CM01590,竞品C,B站,价格有点贵，但是一分钱一分货吧,57,4,5,中性,2023-06-16
CM01591,竞品C,B站,价格有点贵，但是一分钱一分货吧,61,5,7,中性,2023-10-12
CM01592,品牌A,B站,什么时候出新品啊，等好久了,51,10,4,正面,2023-05-18
CM01593,竞品C,B站,性价比很高，比XX品牌好多了,44,15,6,正面,2023-06-24
CM01594,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,52,2,4,正面,2023-04-29
CM01595,竞品B,B站,客服态度太差了，再也不会买了,38,8,3,负面,2023-09-01
CM01596,竞品B,小红书,性价比很高，比XX品牌好多了,50,12,3,正面,2023-09-14
CM01597,品牌A,B站,价格有点贵，但是一分钱一分货吧,53,14,6,中性,2023-01-02
CM01598,竞品B,小红书,用了过敏，不知道是不是正品,39,12,7,负面,2023-03-03
CM01599,品牌A,小红书,国货之光，必须支持,41,3,3,正面,2023-12-16
CM01600,竞品C,微博,什么时候出新品啊，等好久了,39,4,3,正面,2023-02-12
CM01601,品牌A,抖音,颜值很高，就是有点不耐用,40,13,18,中性,2023-03-21
CM01602,竞品C,抖音,感觉最近质量不如以前了，有点失望,42,14,2,负面,2023-10-01
CM01603,竞品B,B站,什么时候出新品啊，等好久了,43,9,7,正面,2023-06-07
CM01604,竞品B,抖音,感觉最近质量不如以前了，有点失望,56,10,4,负面,2023-02-28
CM01605,竞品C,B站,颜值很高，就是有点不耐用,46,14,6,中性,2023-02-15
CM01606,品牌A,抖音,物流很快，包装也很好，推荐购买,43,9,6,正面,2023-10-11
CM01607,竞品C,小红书,用了过敏，不知道是不是正品,48,10,10,负面,2023-02-26
CM01608,竞品C,小红书,物流很快，包装也很好，推荐购买,50,8,4,正面,2023-09-04
CM01609,品牌A,微博,什么时候出新品啊，等好久了,43,8,4,正面,2023-01-01
CM01610,品牌A,小红书,国货之光，必须支持,42,7,4,正面,2023-04-05
CM01611,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,52,12,3,正面,2023-07-05
CM01612,品牌A,B站,物流很快，包装也很好，推荐购买,53,11,2,正面,2023-10-29
CM01613,竞品B,B站,物流很快，包装也很好，推荐购买,45,10,7,正面,2023-03-30
CM01614,竞品C,微博,客服态度太差了，再也不会买了,51,11,3,负面,2023-08-29
CM01615,品牌A,小红书,用了过敏，不知道是不是正品,52,10,7,负面,2023-06-05
CM01616,品牌A,B站,什么时候出新品啊，等好久了,42,9,8,正面,2023-06-17
CM01617,竞品B,B站,感觉最近质量不如以前了，有点失望,69,20,9,负面,2023-08-15
CM01618,竞品B,B站,国货之光，必须支持,35,12,2,正面,2023-08-18
CM01619,竞品C,B站,颜值很高，就是有点不耐用,41,10,6,中性,2023-10-21
CM01620,竞品C,微博,客服态度太差了，再也不会买了,59,9,2,负面,2023-11-09
CM01621,竞品B,微博,感觉最近质量不如以前了，有点失望,54,13,3,负面,2023-06-16
CM01622,竞品C,小红书,物流很快，包装也很好，推荐购买,53,13,3,正面,2023-03-11
CM01623,竞品C,微博,价格有点贵，但是一分钱一分货吧,52,7,6,中性,2023-03-21
CM01624,竞品C,B站,用了过敏，不知道是不是正品,53,7,7,负面,2023-01-16
CM01625,竞品B,微博,客服态度太差了，再也不会买了,61,7,3,负面,2023-02-04
CM01626,竞品B,小红书,什么时候出新品啊，等好久了,47,10,3,正面,2023-08-13
CM01627,竞品C,小红书,什么时候出新品啊，等好久了,46,15,7,正面,2023-12-31
CM01628,竞品B,抖音,国货之光，必须支持,44,6,4,正面,2023-04-12
CM01629,品牌A,小红书,颜值很高，就是有点不耐用,52,11,3,中性,2023-11-29
CM01630,竞品B,抖音,颜值很高，就是有点不耐用,43,10,9,中性,2023-03-18
CM01631,竞品C,抖音,性价比很高，比XX品牌好多了,53,14,2,正面,2023-03-02
CM01632,竞品B,微博,性价比很高，比XX品牌好多了,45,11,11,正面,2023-04-25
CM01633,竞品B,微博,感觉最近质量不如以前了，有点失望,47,11,7,负面,2023-04-11
CM01634,竞品B,抖音,物流很快，包装也很好，推荐购买,51,12,5,正面,2023-05-19
CM01635,竞品C,微博,颜值很高，就是有点不耐用,60,10,11,中性,2023-04-10
CM01636,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,57,9,6,正面,2023-05-27
CM01637,竞品C,B站,性价比很高，比XX品牌好多了,41,18,7,正面,2023-06-30
CM01638,竞品B,微博,用了过敏，不知道是不是正品,53,10,4,负面,2023-05-08
CM01639,竞品B,B站,客服态度太差了，再也不会买了,42,18,2,负面,2023-12-26
CM01640,品牌A,抖音,价格有点贵，但是一分钱一分货吧,55,6,5,中性,2023-07-10
CM01641,品牌A,微博,国货之光，必须支持,44,6,2,正面,2023-08-21
CM01642,品牌A,B站,用了过敏，不知道是不是正品,47,9,4,负面,2023-01-06
CM01643,品牌A,小红书,颜值很高，就是有点不耐用,54,12,6,中性,2023-06-15
CM01644,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,45,8,3,正面,2023-09-06
CM01645,竞品B,小红书,客服态度太差了，再也不会买了,58,13,8,负面,2023-02-28
CM01646,品牌A,微博,客服态度太差了，再也不会买了,46,12,5,负面,2023-08-04
CM01647,竞品C,微博,国货之光，必须支持,54,9,5,正面,2023-11-13
CM01648,品牌A,抖音,什么时候出新品啊，等好久了,52,10,8,正面,2023-06-21
CM01649,竞品C,微博,价格有点贵，但是一分钱一分货吧,47,7,3,中性,2023-10-16
CM01650,竞品B,抖音,国货之光，必须支持,52,5,5,正面,2023-08-17
CM01651,竞品C,抖音,什么时候出新品啊，等好久了,51,11,7,正面,2023-09-12
CM01652,品牌A,抖音,用了过敏，不知道是不是正品,38,18,7,负面,2023-03-26
CM01653,竞品B,微博,颜值很高，就是有点不耐用,49,9,6,中性,2023-06-21
CM01654,品牌A,抖音,国货之光，必须支持,58,9,4,正面,2023-01-27
CM01655,品牌A,抖音,价格有点贵，但是一分钱一分货吧,38,13,3,中性,2023-09-27
CM01656,品牌A,小红书,感觉最近质量不如以前了，有点失望,53,8,0,负面,2023-02-19
CM01657,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,67,8,6,正面,2023-11-09
CM01658,品牌A,微博,性价比很高，比XX品牌好多了,59,9,11,正面,2023-03-06
CM01659,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,57,11,2,正面,2023-11-25
CM01660,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,63,6,6,正面,2023-08-20
CM01661,竞品B,B站,用了过敏，不知道是不是正品,63,7,7,负面,2023-06-04
CM01662,竞品B,小红书,价格有点贵，但是一分钱一分货吧,44,8,4,中性,2023-09-10
CM01663,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,47,11,9,正面,2023-11-15
CM01664,竞品B,抖音,颜值很高，就是有点不耐用,43,16,5,中性,2023-07-02
CM01665,品牌A,B站,什么时候出新品啊，等好久了,54,5,6,正面,2023-02-10
CM01666,竞品C,B站,国货之光，必须支持,67,5,3,正面,2023-06-27
CM01667,竞品B,抖音,价格有点贵，但是一分钱一分货吧,65,13,6,中性,2023-05-17
CM01668,品牌A,B站,颜值很高，就是有点不耐用,50,10,3,中性,2023-06-22
CM01669,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,52,8,5,正面,2023-11-04
CM01670,竞品B,微博,感觉最近质量不如以前了，有点失望,30,11,2,负面,2023-08-09
CM01671,品牌A,微博,颜值很高，就是有点不耐用,49,11,5,中性,2023-04-22
CM01672,竞品B,小红书,客服态度太差了，再也不会买了,53,5,7,负面,2023-08-14
CM01673,品牌A,抖音,什么时候出新品啊，等好久了,45,11,5,正面,2023-02-04
CM01674,竞品C,微博,价格有点贵，但是一分钱一分货吧,45,13,7,中性,2023-07-15
CM01675,竞品B,微博,国货之光，必须支持,41,6,6,正面,2023-04-09
CM01676,竞品C,B站,性价比很高，比XX品牌好多了,52,7,4,正面,2023-03-08
CM01677,竞品C,抖音,性价比很高，比XX品牌好多了,65,6,7,正面,2023-08-13
CM01678,品牌A,微博,价格有点贵，但是一分钱一分货吧,61,6,6,中性,2023-10-22
CM01679,竞品C,B站,颜值很高，就是有点不耐用,48,12,7,中性,2023-11-19
CM01680,竞品B,小红书,价格有点贵，但是一分钱一分货吧,62,14,7,中性,2023-11-21
CM01681,竞品C,B站,价格有点贵，但是一分钱一分货吧,44,12,4,中性,2023-06-25
CM01682,竞品B,B站,价格有点贵，但是一分钱一分货吧,56,9,6,中性,2023-08-03
CM01683,竞品B,微博,感觉最近质量不如以前了，有点失望,52,8,5,负面,2023-12-14
CM01684,竞品B,抖音,什么时候出新品啊，等好久了,44,6,12,正面,2023-08-23
CM01685,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,49,9,3,正面,2023-04-24
CM01686,竞品B,抖音,用了过敏，不知道是不是正品,52,9,5,负面,2023-10-08
CM01687,品牌A,微博,用了过敏，不知道是不是正品,55,10,4,负面,2023-05-01
CM01688,品牌A,B站,用了过敏，不知道是不是正品,54,8,4,负面,2023-10-23
CM01689,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,55,7,2,正面,2023-03-29
CM01690,竞品C,抖音,什么时候出新品啊，等好久了,48,11,10,正面,2023-06-05
CM01691,竞品B,抖音,性价比很高，比XX品牌好多了,48,5,3,正面,2023-07-17
CM01692,品牌A,小红书,客服态度太差了，再也不会买了,49,11,8,负面,2023-04-27
CM01693,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,55,11,6,正面,2023-09-12
CM01694,竞品B,抖音,颜值很高，就是有点不耐用,53,7,5,中性,2023-11-17
CM01695,竞品B,微博,用了过敏，不知道是不是正品,54,6,2,负面,2023-01-05
CM01696,竞品B,小红书,用了过敏，不知道是不是正品,49,9,5,负面,2023-06-17
CM01697,竞品B,抖音,国货之光，必须支持,43,10,7,正面,2023-09-23
CM01698,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,55,15,9,正面,2023-05-24
CM01699,竞品B,小红书,什么时候出新品啊，等好久了,50,8,5,正面,2023-10-27
CM01700,品牌A,B站,性价比很高，比XX品牌好多了,53,8,6,正面,2023-03-14
CM01701,竞品B,小红书,物流很快，包装也很好，推荐购买,53,15,2,正面,2023-01-05
CM01702,品牌A,抖音,颜值很高，就是有点不耐用,53,13,5,中性,2023-09-04
CM01703,品牌A,小红书,物流很快，包装也很好，推荐购买,48,8,0,正面,2023-05-29
CM01704,品牌A,抖音,颜值很高，就是有点不耐用,46,12,5,中性,2023-12-28
CM01705,品牌A,B站,颜值很高，就是有点不耐用,51,5,4,中性,2023-03-08
CM01706,竞品C,小红书,颜值很高，就是有点不耐用,49,13,2,中性,2023-11-30
CM01707,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,53,10,5,正面,2023-07-18
CM01708,品牌A,B站,性价比很高，比XX品牌好多了,48,15,0,正面,2023-11-08
CM01709,竞品C,微博,物流很快，包装也很好，推荐购买,52,13,1,正面,2023-08-04
CM01710,品牌A,微博,什么时候出新品啊，等好久了,56,4,4,正面,2023-04-10
CM01711,竞品B,抖音,性价比很高，比XX品牌好多了,52,10,1,正面,2023-12-26
CM01712,竞品B,B站,用了过敏，不知道是不是正品,53,13,5,负面,2023-02-10
CM01713,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,44,9,8,正面,2023-06-25
CM01714,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,56,5,8,正面,2023-10-04
CM01715,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,69,10,6,正面,2023-10-16
CM01716,竞品B,微博,颜值很高，就是有点不耐用,60,9,5,中性,2023-10-13
CM01717,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,40,11,5,正面,2023-11-26
CM01718,品牌A,B站,国货之光，必须支持,56,6,7,正面,2023-10-06
CM01719,竞品B,B站,用了过敏，不知道是不是正品,50,8,12,负面,2023-01-12
CM01720,竞品B,小红书,客服态度太差了，再也不会买了,41,10,5,负面,2023-11-30
CM01721,品牌A,B站,颜值很高，就是有点不耐用,46,8,4,中性,2023-07-31
CM01722,竞品B,微博,用了过敏，不知道是不是正品,44,11,6,负面,2023-08-28
CM01723,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,49,8,7,正面,2023-08-02
CM01724,竞品B,B站,国货之光，必须支持,50,4,11,正面,2023-05-11
CM01725,竞品B,B站,颜值很高，就是有点不耐用,42,10,8,中性,2023-01-31
CM01726,竞品C,小红书,什么时候出新品啊，等好久了,61,12,4,正面,2023-03-01
CM01727,竞品B,小红书,什么时候出新品啊，等好久了,41,15,4,正面,2023-06-13
CM01728,竞品C,B站,什么时候出新品啊，等好久了,52,8,8,正面,2023-04-03
CM01729,竞品C,B站,客服态度太差了，再也不会买了,58,7,6,负面,2023-05-24
CM01730,竞品C,抖音,颜值很高，就是有点不耐用,49,13,11,中性,2023-03-27
CM01731,竞品C,小红书,价格有点贵，但是一分钱一分货吧,58,11,3,中性,2023-07-27
CM01732,竞品B,微博,国货之光，必须支持,45,11,8,正面,2023-05-29
CM01733,竞品B,抖音,用了过敏，不知道是不是正品,53,6,3,负面,2023-05-19
CM01734,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,46,18,3,正面,2023-06-22
CM01735,竞品B,B站,颜值很高，就是有点不耐用,51,9,8,中性,2023-01-20
CM01736,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,52,12,4,正面,2023-08-12
CM01737,竞品C,小红书,什么时候出新品啊，等好久了,47,8,3,正面,2023-09-21
CM01738,竞品C,抖音,颜值很高，就是有点不耐用,53,5,8,中性,2023-07-18
CM01739,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,42,9,2,正面,2023-04-10
CM01740,品牌A,抖音,性价比很高，比XX品牌好多了,52,7,7,正面,2023-04-17
CM01741,竞品C,B站,性价比很高，比XX品牌好多了,47,12,7,正面,2023-01-29
CM01742,竞品C,小红书,性价比很高，比XX品牌好多了,52,14,4,正面,2023-04-15
CM01743,品牌A,B站,物流很快，包装也很好，推荐购买,62,10,5,正面,2023-03-26
CM01744,竞品B,微博,颜值很高，就是有点不耐用,61,10,7,中性,2023-02-18
CM01745,品牌A,小红书,性价比很高，比XX品牌好多了,35,5,4,正面,2023-12-04
CM01746,竞品B,B站,客服态度太差了，再也不会买了,50,6,6,负面,2023-03-08
CM01747,竞品B,微博,物流很快，包装也很好，推荐购买,63,9,5,正面,2023-07-10
CM01748,竞品C,微博,感觉最近质量不如以前了，有点失望,46,12,3,负面,2023-02-10
CM01749,竞品B,小红书,物流很快，包装也很好，推荐购买,37,8,5,正面,2023-09-08
CM01750,竞品B,小红书,这个品牌的产品真的很好用，支持了好多年了,45,6,4,正面,2023-10-28
CM01751,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,42,11,2,正面,2023-08-31
CM01752,品牌A,小红书,国货之光，必须支持,55,8,4,正面,2023-11-03
CM01753,竞品B,小红书,价格有点贵，但是一分钱一分货吧,43,4,7,中性,2023-08-15
CM01754,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,44,13,2,正面,2023-10-13
CM01755,竞品B,抖音,感觉最近质量不如以前了，有点失望,47,9,6,负面,2023-08-17
CM01756,品牌A,B站,感觉最近质量不如以前了，有点失望,44,15,4,负面,2023-11-13
CM01757,竞品B,微博,性价比很高，比XX品牌好多了,64,10,4,正面,2023-10-17
CM01758,竞品C,微博,用了过敏，不知道是不是正品,50,7,2,负面,2023-12-25
CM01759,品牌A,抖音,什么时候出新品啊，等好久了,43,14,3,正面,2023-08-22
CM01760,竞品C,抖音,用了过敏，不知道是不是正品,34,14,5,负面,2023-12-31
CM01761,竞品B,小红书,颜值很高，就是有点不耐用,47,10,3,中性,2023-05-28
CM01762,竞品B,B站,颜值很高，就是有点不耐用,47,12,9,中性,2023-12-28
CM01763,竞品C,B站,客服态度太差了，再也不会买了,54,12,4,负面,2023-02-21
CM01764,品牌A,微博,物流很快，包装也很好，推荐购买,55,9,4,正面,2023-09-29
CM01765,竞品C,B站,性价比很高，比XX品牌好多了,52,17,8,正面,2023-09-17
CM01766,竞品B,抖音,物流很快，包装也很好，推荐购买,41,9,5,正面,2023-08-25
CM01767,品牌A,小红书,什么时候出新品啊，等好久了,51,10,4,正面,2023-12-21
CM01768,品牌A,小红书,颜值很高，就是有点不耐用,48,8,6,中性,2023-10-08
CM01769,竞品B,抖音,感觉最近质量不如以前了，有点失望,47,5,3,负面,2023-02-22
CM01770,竞品B,微博,感觉最近质量不如以前了，有点失望,66,8,5,负面,2023-05-04
CM01771,品牌A,B站,颜值很高，就是有点不耐用,58,9,3,中性,2023-06-11
CM01772,品牌A,小红书,感觉最近质量不如以前了，有点失望,56,13,6,负面,2023-10-01
CM01773,竞品C,抖音,客服态度太差了，再也不会买了,43,6,8,负面,2023-10-11
CM01774,竞品C,抖音,什么时候出新品啊，等好久了,49,4,5,正面,2023-08-25
CM01775,品牌A,小红书,物流很快，包装也很好，推荐购买,52,9,4,正面,2023-07-18
CM01776,品牌A,微博,客服态度太差了，再也不会买了,48,13,4,负面,2023-07-09
CM01777,品牌A,抖音,用了过敏，不知道是不是正品,55,12,4,负面,2023-12-11
CM01778,品牌A,抖音,什么时候出新品啊，等好久了,45,11,4,正面,2023-09-12
CM01779,竞品B,小红书,这个品牌的产品真的很好用，支持了好多年了,47,8,6,正面,2023-01-15
CM01780,品牌A,B站,客服态度太差了，再也不会买了,48,10,6,负面,2023-09-20
CM01781,品牌A,小红书,什么时候出新品啊，等好久了,36,8,5,正面,2023-03-11
CM01782,竞品C,B站,颜值很高，就是有点不耐用,49,7,4,中性,2023-08-01
CM01783,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,50,14,5,正面,2023-03-08
CM01784,竞品B,微博,物流很快，包装也很好，推荐购买,54,7,6,正面,2023-11-07
CM01785,竞品B,B站,什么时候出新品啊，等好久了,62,12,7,正面,2023-05-14
CM01786,竞品C,抖音,性价比很高，比XX品牌好多了,42,14,7,正面,2023-07-05
CM01787,竞品B,抖音,客服态度太差了，再也不会买了,42,11,4,负面,2023-08-19
CM01788,品牌A,微博,国货之光，必须支持,46,15,4,正面,2023-08-26
CM01789,竞品B,小红书,物流很快，包装也很好，推荐购买,56,12,5,正面,2023-05-26
CM01790,品牌A,抖音,用了过敏，不知道是不是正品,58,5,3,负面,2023-12-24
CM01791,竞品C,抖音,颜值很高，就是有点不耐用,45,6,5,中性,2023-02-05
CM01792,竞品B,抖音,用了过敏，不知道是不是正品,42,9,3,负面,2023-03-15
CM01793,竞品C,小红书,感觉最近质量不如以前了，有点失望,49,13,2,负面,2023-01-27
CM01794,竞品C,抖音,客服态度太差了，再也不会买了,52,15,4,负面,2023-10-24
CM01795,品牌A,微博,性价比很高，比XX品牌好多了,40,8,3,正面,2023-07-16
CM01796,品牌A,微博,感觉最近质量不如以前了，有点失望,46,8,3,负面,2023-02-25
CM01797,品牌A,小红书,国货之光，必须支持,52,5,7,正面,2023-03-10
CM01798,品牌A,抖音,国货之光，必须支持,45,4,2,正面,2023-08-07
CM01799,竞品B,微博,性价比很高，比XX品牌好多了,57,9,2,正面,2023-09-20
CM01800,品牌A,微博,客服态度太差了，再也不会买了,44,9,3,负面,2023-10-29
CM01801,品牌A,抖音,感觉最近质量不如以前了，有点失望,42,9,1,负面,2023-02-02
CM01802,品牌A,微博,感觉最近质量不如以前了，有点失望,55,8,3,负面,2023-08-18
CM01803,竞品B,抖音,性价比很高，比XX品牌好多了,43,16,7,正面,2023-03-06
CM01804,竞品B,小红书,什么时候出新品啊，等好久了,74,11,7,正面,2023-08-21
CM01805,品牌A,小红书,物流很快，包装也很好，推荐购买,38,9,2,正面,2023-07-04
CM01806,竞品C,B站,用了过敏，不知道是不是正品,49,9,2,负面,2023-10-05
CM01807,竞品C,抖音,颜值很高，就是有点不耐用,59,13,4,中性,2023-07-15
CM01808,竞品C,小红书,颜值很高，就是有点不耐用,60,15,4,中性,2023-03-01
CM01809,竞品C,抖音,物流很快，包装也很好，推荐购买,48,11,4,正面,2023-06-07
CM01810,品牌A,微博,感觉最近质量不如以前了，有点失望,38,9,6,负面,2023-10-18
CM01811,品牌A,B站,感觉最近质量不如以前了，有点失望,60,11,5,负面,2023-02-16
CM01812,竞品B,抖音,国货之光，必须支持,59,8,6,正面,2023-05-13
